Zip code,Total_claims,Percent_households_color,Flood_emergency_calls
60018,1737,36,0
60176,856,25,0
60601,0,31,16
60602,0,31,125
60603,0,44,148
60604,3,45,307
60605,6,43,20
60606,4,26,79
60607,111,38,83
60608,1225,75,133
60609,4358,80,212
60610,54,25,37
60611,2,26,33
60612,1864,77,212
60613,102,24,89
60614,137,18,113
60615,890,75,88
60616,317,74,58
60617,16726,90,410
60618,967,44,155
60619,21103,99,455
60620,19578,100,387
60621,6056,100,303
60622,234,33,119
60623,5743,97,189
60624,5346,98,240
60625,1303,45,164
60626,200,48,97
60628,24422,98,514
60629,13022,87,320
60630,1568,33,205
60631,2334,10,271
60632,5017,84,189
60633,1567,58,204
60634,3433,32,246
60636,11783,99,481
60637,3919,87,211
60638,3551,40,265
60639,5354,89,236
60640,47,39,83
60641,970,50,153
60643,12754,77,381
60644,8331,98,263
60645,546,47,147
60646,1275,18,328
60647,699,49,132
60649,4439,97,198
60651,10931,95,397
60652,6798,82,338
60653,1697,96,117
60654,2,23,0
60655,1967,14,316
60656,1383,21,145
60657,94,18,79
60659,601,49,213
60660,63,40,60
60661,2,38,28
60707,3403,41,109
60827,8849,96,30
